¿Cómo se llama el lenguaje xml de intercambio de información entre herramientas CASE?,XMI (https://en.wikipedia.org/wiki/XML_Metadata_Interchange)
¿Que elementos se registran en un AD de Windows?,* User. Computer. Group. Printer. Shared Folder. Organizational Unit. Contact NOTA: Algunos de estos objetos (users. groups y computers) tienen una relevancia especial desde el punto de vista de la seguridad (Security Principals) y se les asigna un SID para identificarlos NOTA: Los grupos y las OU se las considera contenedores NOTA: En el AD tenemos dos vistas: fisica (Sites) y logica (OU's) NOTA: En el AD podemos gestionar Dominios (acme.com). Arboles (subdominios de acme.com) y Bosques (varios dominios distintos. acme.com y ruinosa.com)
¿Cual es el sistema de ficheros de Windows 2012?,ReFS (simplificación del NTFS)
¿En que consiste la cabecera Routing en IPv6?,Es una cabecera de extensión que sirve para marcar el encaminamiento desde el origen
"¿Cuales son los pasos fundamentales del handsake ""basico"" de SSL? ¿Existe algun otro flujo mas ""complejo"" y cuando se usa?","- Intercambio de algoritmos criptograficos (lista de cipher suites) + version SSL/TLS - CLIENT HELLO - El servidor envia su certificado x509 al cliente y la suite de algoritmos elegida y el SesionID - SERVER HELLO - Intercambio de la clave ""simetrica"" - Cifrado simetrico de las comunicaciones con dicha clave"
¿Que es el OCSP?,Protocolo que nos sirve para comprobar online (ej. por http) del estado de revocación de un certificado (Cada CA tiene el suyo --> VA)
¿Que es una CRL?,Metodo de comprobación de la revocación mediante la descarga de una fichero con el total de ellas
En linux. nombre por lo menos 4 gestor de escritorio/windows managers,GNOME / Mutter KDE / KWin XFCE / Xfwm CDE / MWM (Motif Window Manager) CINNAMON / Muffin MATE / Marco LXDE / OpenBox UNITY / Compiz
¿Que programa ocupa mas memoria. uno iterativo o el equivalente recursivo?,El recursivo pues por cada llamada tenemos que guardar en la pila: parametros. dirección de retorno. etc
En SQL. ¿como se define una columna para que solo admita numeros positivos?,CONSTRAINT constraint_name CHECK ( predicate )
¿Que es una funcion de primera clase?,Tipico de la programacion funcional. Nos permite tratar a la funcion con mas potencia que otros paradigmas. es decir. que una funcion puede ser: - Asignada a una variable - Retornada por otra funcion - Pasar como parametro de entrada de otra funcion
"Enumera cinco lenguajes de programacion funcionales. ¿Conoces algunos cambios introducidos en Java8 para ofrecer comportamiento ""funcional""?",- Lisp.Scheme.Clojure.Haskell.Fsharp.Ocaml.Erlang - Streams. Expresiones Lambda. interfaces java.util.function.Function y java.util.function.Predicate
¿A que se le conoce como Spanning tree?,Al arbol de recubrimiento minimo (ver PRIM y KRUSKAL) que se calcula para poder alcanzar en nivel 2 a los demas host sin bucles
En .NET. ¿Que es el CLR? ¿Que version del CLR usará el .NET FrameWork 4.5?,- El CLR es el motor de ejecución (ver Infraestructura CLI en ECMA 335) de .Net - La version del CLR más alta es la 4.0 (las versiones de CLR no va correlativas a las version del FW) (NOTA: Ver CoreCLR)
En SQL. ¿Para que sirve un Trigger de tipo INSTEAD OF?,Para ejecutar el cuerpo del Trigger en lugar de la sentencia que provoco su activacion
En SSL. ¿que significa mutual autentication?,Que se presentan los certificados de cliente y de servidor en ambos extremos respectivamente
En GIT. ¿con que comando asociamos un repositorio remoto a nuestro repo local?,git add remote <alias> <url>
"¿Que se denomina ""pipeline"" dentro de un software tipo CI/CD (integracion continua)?",Al conjunto de tareas que tenemos configuradas (ej: compilar. pasar test. deploy. ...) y se ejecutarán cada vez que haya nuevas versiones subidas al scv
En java. ¿un interface puede tener algun metodo implementado?,Sip. se denominan default methods
"En un switch. ¿Qué es un puerto configurado en ""modo access"" y que diferencia tiene con el que está configurado en ""modo trunk""?",El modo access sirve para configurar puertos para conectar por ej. host (trafico sin etiquetar) y el modo trunk sirve para intercambiar trafico etiquetado segun 802.1Q entre switch-switch y switch-router
En CSS. ¿para que sirve la declaracion !important?,Para que tenga la maxima prioridad (independientemente del calculo de especificidad)
En Javascript/DOM. ¿Conoces algun metodo para obtener un elemento(s) del DOM en base a su Id? ¿Y en base a un valor de algun atributo dado?Por ej. dame todos los nodos que tengan el valor true en su atributo aria-expanded,- document.getElementById('...') - documento.querySelector('...')
¿Que datos fundamentales tiene una firma XML-DSIG?,- SignatureValue y SignatureMethod - DigestValue y DigestMethod - KeyInfo
¿Que es ORVE y a quien va dirigido?,Un registro E/S (integrado en SIR y que cumple con la norma de intercambio SICRES 3.0) modo nube destinado a EELL
Hablando de REST. ¿que ventajas nos aporta graph-ql en lugar de los clasicos servicios REST?,"La capacidad para ""seleccionar"" solo aquella información que nos interesa en el cliente. Tambien dispone de funcionalidades de actualización llamadas ""mutations"""
¿Que tipo de BBDD es MongoDB? ¿Que otros modelosNoSQL+producto(s) asociados conoces?,- Sigue el modelo documental (JSON) - Modelos clave-valor. grafos. basado en columnas. etc. (Productos: Cassandra. Redis. Neo4j. ...)
¿Para que sirve el comando touch de Linux? ¿Tiene alguna relación con el concepto de inodo?,- Para actualizar de un fichero (sino existe lo crea vacio) las fechas de acceso y modificacion (info presente en el inodo)
¿Que es apache Xerces?,Parser XML que soporta JAXP. Stax. SAX y DOM
¿Que diferencia existe entre un datagrama IP y un paquete IP?,El paquete IP es el resultado de fragmentar un datagrama IP como consecuencia de una MTU más pequeña que este
¿Donde se almacena una microinstruccion en el caso de logica microprogramada?,En una ROM donde reside el software que hay que ejecutar para cada instrucción (concepto de secuenciador)
En UML ¿Que dos relaciones se dan entre casos de uso?,"- <<include>> se usa para ""sacar factor comun"" de varios casos de usos y reutilizar esa funcionalidad - <<extends>> se usa para definir un comportamiento que se podra dar en funcion de una condicion (punto de extension)"
¿Que suele conectar el FSB?,La CPU con el chipset Norte (encargado de los dispositivos rapidos: memoria. pci-e. etc)
¿Cuantas particiones se admiten con GPT?,Tiene un numero ilimitado de particiones pero Windows lo limita a 128
¿Con que comando se amplia un grupo de volumenes en LVM? ¿En que consiste un grupo de volumenes?,- vgextend - Es un conjunto de volumenes fisicos (pv)
En JEE. ¿Cual es la clase principal que se usa para acceder a un arbol JNDI?,InitialContext del paquete javax.naming (metodo importante: lookup(String) --> Object )
En Java. ¿Que significa @Override y para que sirve?,Sirve para declarar al compilar que estamos sobreescribiendo o implementando un metodo respecto del supertipo
¿Existe algun estandar para JSON? ¿En java hay algun API? ¿y librerias?,- Estandar ECMA 404 - En Java el API se llama JSON-P y las librerias mas usadas son Jackson y GSON
¿Para que sirve XSL-T? ¿y XSL-FO?,- XSL-T es una tecnologia mediante la cual un documento XML se transforma en otro con ayuda de un XSL Processor - XSL-FO es una tecnologia mediante la cual un documento XML se transforma en un documento de formato final (pdf. svg. etc)
¿Que hace el comando git checkout develop?,Cambiarte de rama a develop y actualizarte el working directory
¿Que cuatro etapas cubre RSA ?,Generación de claves. Distribucion. Cifrado. Descrifado
En .NET. ¿como se denomina al bytecode generado por el csc.exe por ej? ¿Que es un ensamblado y que tipos hay?,- Codigo CIL - Es el empaquetado fisico del CIL junto con Metadatos.recusos.etc (forma de .exe o .dll)
¿Que es logback?,Es una libreria de generación de mensajes de log como lo es log4j
¿Que tipo de algoritmo de ordnacion es el del monticulo? --> Seleccion. Distribucion. Intercambio....?,Es un algoritmo de Seleccion que se basa en mantener constamente una estructura de datos llamada monticulo (en la cual siempre tenemos en la raiz al elemento mayor de todos. max-heap. o al menor de todos. min-heap)
En NoSQL. ¿Que tipo de BBDD es OrientDB? ¿Que es lo que no garantizan estas BBDD generalmente?,- Es una BBDD multimodelo (documento. grafos y clave-valor) - No suelen garantizar ACID (en lugar de ello se habla de BASE)
En Windows. ¿Que producto conoces para distribuir de forma automatica parches de seguridad a los equipos de usuario? ¿Y en Linux?,- WSUS y SCCM - Ansible. Chef. Puppet. ...
En SQL. ¿que son las pseudotablas en el ambito de un disparador?,Son los recursos que nos permiten comprobar los datos antiguos y nuevos dentro del cuerpo del disparador
En JEE. ¿a que se refiere el API JTA? ¿Que tipo producto hay detras de este API y para que sirve?,"Sirve para poder usar el servicio de transacciones distribuidas. Detras de este API el producto se denomina ""monitor de transacciones"""
La extension de fichero .p12 ¿que significa y que diferencia tiene con la extension .cer?,- .p12 formato que hace referencia al estandar PKCS#12 (contenedor de certificados con clave privada) - .cer formato para exportar la parte publica del certificado
¿Que es RSS y que estructura tiene?,Es un formato XML para exportar noticias y que luego podremos agregar/sindicar en un portal unico o software de escritorio (añadiendo origenes RSS o feeds).
"En .NET ¿a que se refieren las ""Properties"" y que equivalencia tienen en Java?",Es una forma de acceder a ciertos campos de los objetos (modificación y consulta). En Java se les llama metodos getters y setters
En .NET ¿que es un atributo y para que sirve? ¿alguna semejanza con Java?,Un atributo es un elemento de programación que nos sirve para proporcionar información de configuración en el propio codigo fuente. En Java el equivalente son las Anotaciones
¿Como es el Handshake o establecimiento de la conexion en TCP?,Consta de tres fases entre cliente (c) y servidor (s) : a) SYN (c --> s). Aqui el cliente envia cual será su numero de secuencia para sus segmentos b) SYN-ACK (s --> c). Aqui el servidor envia cual será su numero de secuencia para sus segmentos c) ACK (c --> s)
¿Que se conoce como MTU y para que sirve?,Unidad maxima de transferencia del nivel 2 (ej: Ethernet son 1500 bytes). Si el nivel IP encuentra este tamaño insuficiente. tendrá que fragmentar los datagramas (NOTA: Ver una opcion especial llamada jumboframe https://naseros.com/2015/04/16/cambia-el-mtu-de-la-red-a-jumbo-frame-para-ir-mas-rapido/)
¿Que significa UEFI y que caracteristicas tiene?,Es el nuevo interface para el Firmware de la maquina (sustituye a la BIOS). Soporta entorno grafico. capacidades de red. diseño modular y los sistemas de particiones MBR/GPT
¿Con que comando interactivo podemos obtener una lista de procesos en Linux?,top / htop
¿Como podemos obtener los detalles de la cpu en linux?,cat /proc/cpuinfo lscpu
¿Que dos formas existen para dar permisos en Linux sobre ficheros/directorios?,chmod 644 f1.txt setfacl -m u:pepe:rw f1.txt
¿Para que sirve el estandar de criptografia PKCS#8?,Formato de exportación en PEM/Base64 de la clave privada (con o sin encriptación de la misma) -----BEGIN PRIVATE KEY----- MIIBVgIBADANBgkqhkiG9w0BAQEFAASCAUAwggE8AgEAAkEAq7BFUpkGp3+LQmlQ... -----END PRIVATE KEY----- -----BEGIN ENCRYPTED PRIVATE KEY----- MIIBrzBJBgkqhkiG9w0BBQ0wPDAbBgkqhkiG9w0BBQwwDgQImQO8S8BJYNACAggA... -----END ENCRYPTED PRIVATE KEY-----
¿Que es LDAP y que operaciones fundamentales tiene? ¿Conoces alguna implmentacion? ¿Tiene relacion con algun otro estandar?,Protocolo ligero de acceso a servicios de directorio Operaciones: Bind (Conectarse/Autenticarse). Search. Add. Modify. Delete. etc Implementaciones: OpenLDAP. Active Directory. Apache Directory Tiene relacion con las recomendaciones X.500 de OSI
¿Que organismo se encarga del estandar USB? ¿Que caracteristicas tiene USB 3.1?,USB-IF (Implementers Forum) USB 3.1 Gen 1 – SuperSpeed. 5 Gbit/s (aka USB 3.0) USB 3.1 Gen 2 – SuperSpeed+. 10 Gbit/s Soporta el nuevo conector Tipo C Soporta la especificación USB-PowerDelivery
¿Que lenguajes conoces para realizar la descripcion/documentacion de un API REST?,SWAGGER/OpenAPI (json y xml) WSDL 2.0 (xml) WADL (xml) RAML (yaml)
Dentro de un certificado SSL del sitio https://www.ruinosa.com. ¿donde aparece el nombre del dominio? ¿que hace el navegador con ese dato?,En el campo sujeto (atributo CN) está la siguiente informacion (ej de la web https://sede.inap.gob.es) C = ES CN = sede.inap.gob.es O = INSTITUTO NACIONAL DE ADMINISTRACIÓN PÚBLICA OU = SEDE ELECTRÓNICA DEL INAP (SEINAP) OU = sede electrónica L = MADRID SERIALNUMBER = Q2811002A
¿Que utilidad tiene en windows el proceso Svchost.exe ?,Es un servicio del sistema para gestionar a grupos de 1 a N servicios con recursos compartidos entre ellos (NOTA: probar en windows el comando tasklist /svc)
A la hora gestionar un equipo windows. ¿que diferencia fundamental existe entre SNMP y WMI?,WMI es una implementación propia de Windows (necesita del servicio de instrumentacion funcionando) y sigue el estandar de CIM (modelo de información) SNMP es un estandar independiente del SSOO (necesita de un agente SNMP) y sigue el estandar MIB (modelo de información)
¿En que tipo de producto catalogarias Plone? ¿En que lenguaje está implementado? ¿Que BBDD suele llevar?,Plone es un gestor de contenidos implementado en Python y que funciona sobre la plataforma/serv de aplicaciones Zope (la BBDD se llama ZODB y es orientada a objetos)
¿Que es ReStructuredText y cual es su utilidad?,Es un lenguaje de marcas ligero al estilo de Markdown. Nos sirve para documentar muy facilmente un proyecto
¿Que es y para que nos sirve SASS?,"Un preprocesador de CSS. Su utilidad principal es escribir con mas potencia y flexibilidad ""codigo CSS"""
¿Para que sirve la herramienta Bower? ¿Y Grunt?,Bower es un gestor de paquetes/dependencias (tira del fichero bower.json). Ahora se han impuesto las herramientas npm y yarn Grunt es un automatizador de tareas escrito en Javascript. Otro muy usado es Webpack
¿Que es un Distinguished Name?,Es el atributo que sirve de identificador unico para una entrada del arbol LDAP
¿Qué son los CSS 3 modules y porque se crearon?,Es una forma de estructurar las ampliaciones del estandar (sin tener que crear CSS4. CSS5. etc)
¿A que se refiere y que caracteristicas tiene el formato mbox?,Formato de buzon de correo electrónico con formato texto/MIME
¿Para que nos sirve el registro MX dentro de una entrada de DNS?,Para averiguar a que MTA de destino (según el nombre de dominio) hay que redirigir el correo electronico
¿Que dos grandes funcionalidades tiene el protocolo SSH?,Copia y acceso/control remoto
Relativo a la seguridad ¿Que es una funcion MAC? ¿Tiene alguna relacion con las funciones hash?,Con MAC garantizamos integridad y autenticacion (porque emisor/receptor comparten clave secreta) Las funciones Hash solo necesitan del mensaje/documento para generar el residuo
¿Que utilidad tienen las caches de L1?,Dotar a cada core del microprocesador de una cache de datos y otra de instrucciones
¿Que signifca E/S mapeada en memoria?,Una forma de comunicacion con el dispositivo a traves de zonas concretas de la memoria ram (o puesto a port-mapped)
A nivel de cache. ¿que quiere decir write-through?,Que vamos a escribir en el mismo instante tanto en la cache como en la memoria principal (buscamos coherencia)
En Java. para que se usa la palabra reservada extends?,Herencia entre clases y entre interfaces
¿Con que palabra se define un metodo abstracto en C#? ¿y en VB.NET?,En c# usamos abstract y en VB.Net MustOverride/MustInherit
¿A que se refiere el estandar CMIS? ¿Como se llama el tipo de productos que lo implementan? ¿Existe equivalente en Java?,API Estandar (Servicios Web SOAP y REST) para acceder a CMS (en concreto gestores documentales como Alfresco. Documentum. etc) El API equivalente en Java es la JCR (Java Content Repository)
En una aplicación Java de consola (empaquetada como un jar). ¿donde se especifica cual es la clase que tiene el metodo main()?,Dentro del fichero META-INF/Manifest.mf (campo Main-Class)
¿Que representa el WWN y que estructura tiene?,Es un identificador para una tarjeta HBA. Switch FC. Cabina SAN....e incluso cada uno de sus puertos (WWPN) Tambien tienen WWN los dispositivos SAS (Serial SCSI)
¿Un SSD de tipo NVMe tiene la limitación de velocidad impuesta según el interface SATA-3 ?,No porque usa otro interface como es PCI Express para comunicarse
¿Qué podemos decir de las caracteristicas del tipo de memoria DDR SDRAM?,Doble ratio de transferencia (en un solo ciclo de reloj transmite información por dos canales) Dinamica (necesita refresco) Sincrona (funciona con reloj)
En MySql. ¿a que nos referimos cuando decimos que vamos a usar InnoDB?,Motor de almacenamienta que soporta caracteristicas transaccionales (ACID)
¿Cual es el nivel de aislamiento más restrictivo hablando de transacciones de BBDD?,Serializable es el mas seguro pero tambien el que peor rendimiento presenta
El algoritmo del quicksort se dice que tiene una complejidad de O(nlog n). ¿es siempre cierto?,En el peor caso (con una mala elección de pivote) se nos va a O(n^2)
En HTML5. ¿cual es la utilidad de la etiqueta figure ?,El elemento figure representa a una pieza de documento autocontenido que se utiliza habitualmente para encerrar imágenes. gráficos. tablas de referencia. videos. poemas. fragmentos de código. etc. Ésta. podrían ser acompañada por una leyenda o título (elemento figcaption) que puede usarse para hacer una referencia al fragmento desde alguna otra parte del documento. Además del título opcional. un elemento figure puede contener a otros elementos como imágenes (img). párrafos (p). código de computadora (code). citas (cite). etc. Ser autocontenido significa que figure tiene cierto grado de independencia del flujo del documento. y su posición relativa al contenido circundante no necesita ser exacta.
¿Para que nos sirve el formato WOFF?,Formato de fuente que incluye de forma comprimida y con metadatos(xml) fuentes OpenType o TrueType
¿Que usos tienen en Java las clases StringBuffer y StringBuilder?,Representan cadenas variables(mutables) StringBuffer --> Thread-safe porque todos su metodos están sincronizados (segura pero mal rendimiento) StringBuilder --> Por defecto no es segura en un entorno multihillo
¿En que consiste la caracteristica de seguridad RLS en PostgreSQL?,Seguridad basada en filas. Consiste en aplicar una politica de seguridad que evalua para ciertos usuarios un predicado que provoca que no vean determinadas filas
¿Qué caracteristicas fundamentales tiene un producto de tipo SIEM?,Gestion centralizada de eventos de seguridad. logs. etc + Motor de analisis con inteligencia para deteccion de ataques
¿Cuales son las tipos de JOIN que existen en SQL? (Ej: dos tablas A.B con 10 y 15 filas respectivamente y 5 coincidentes),"CROSS JOIN (es el producto de cartesiano). En nuestro ejemplo 150 filas de resultado INNER JOIN (en base a dos columnas (una de A y otra de B) solo obtenemos filas coincidentes). En nuestro ejemplo 5 filas LEFT OUTER JOIN (recupera todas las filas de la tabla A coincidentes con B y no coincidentes poniendo null en esos campos). En nuestro ejemplo 10 filas de resultado RIGHT OUTER JOIN (idem que LEFT JOIN pero ""mandando"" la tabla B). En nuestro ejemplo 15 filas FULL OUTER JOIN (resultado de hacer una LEFT JOIN y RIGHT JOIN). En nuetro ejemplo 20 filas"
"¿Qué metodos/verbos HTTP son considerados ""Seguros""?",GET. HEAD. OPTIONS y TRACE (ver https://tools.ietf.org/html/rfc7231#section-4.2.1)
¿Como es el formato de exportación PEM?,Formato de exportacion de certificados. claves. etc en Base64 con un encabezado y pie https://en.wikipedia.org/wiki/Privacy-Enhanced_Mail
¿Cual es la estructura de un token JWT?,"Consta de tres partes codificadas en Base64 y separadas por un ""."" --> header.payload.signature En el signature se usa una fucion HMAC(con una clave)"
¿Qué tipo de selector es en CSS etiqueta::before {...} y cual es su funcion?,Es un selector de tipo pseudoelemento y que sirve para añadir contenido antes del primer hijo de otra etiqueta
¿Qué formato de fecha y hora es 2020-09-01T18:25:52Z?,Formato según la ISO 8601 y que sigue el estandar UTC
¿Qué es PHP-FPM?,Un motor/interprete de PHP que se ejecuta en un proceso independiente al del Apache
¿Qué datos fundamentalmente se manejan en un SNMPv1 Trap?,* Direccion del Agente * Tipo de trap generica * Tipo de trap especifica * TimeStamp * Variable(s)+Valor(s)
¿Cual es el funcionamiento del comando exec en Linux?,Ejecutar el comando que aparece a continuacion usando el mismo proceso que el del shell desde donde se lanza. Lo que provoca es que te saca del shell una vez que termina
¿Cual es la utilidad de un TABLESPACE en Oracle?,Agrupar objetos como tables. indices. etc y asociarse con una serie de ficheros de datos (datafiles)
Explica cual es la estructura y funcion del Patron de diseño Template Method?,Consiste en una clase abstracta (arquitectura) de la que podrán heredar las clases de las aplicaciones concretas y que contiene: - Metodo plantilla donde se define un flujo de negocio pero que hace uso de algunos metodos abstractos - Metodos abstractos que se definen en este nivel pero no se pueden implementar
En UML 2.x. ¿cuales son diagramas de comportamiento?,Diagrama de Casos de usos Diagrama de Actividad Diagrama de Maquina de Estados Diagramas de interacción (Secuencia. Comunicacion. Interaction overview. Tiempos)
¿Qué es una dependencia funcional? ¿En qué consiste la tercera forma normal?,* Se dice que x termina funcionamente a y (x --> y) cuando para valor de x se da el mismo valor de y * La tercera forma normal prohibe que haya dependencias transitivas (es decir. entre atributos que no sean clave)
¿Cual es el proceso para acceder por SSH a una maquina sin contraseña?,* primero generar con ssh-keygen el par de claves RSA por ej * que el administrador incluya nuestra clave publica en el fichero .ssh/authorized_keys
¿En que consiste proxy inverso?,En un programa que dada una url por ej. reenvia intermente la petición a un servidor de backend (ej. Nginx. Apache + mod_proxy. SQUID)
Nombre cuatro tecnicas de diseño de algoritmos,* Divide y Vence * Backtracking * Programacion dinamica * Probabilistas
¿En que consiste el protocolo Neighbor Discovery ?,En un protocolo que hace uso de las siguientes peticiones de ICMPv6 para relacionarse con sus vecinos/routers: * Router Advertisement * Router Solicitation * Neighbor Solicitation * Neighbor Advertisement * Redirect
¿Con que comando podemos exportar una base de datos en MySQL?,mysqldump (el formato de exportacion es un script de SQL)
¿En que consiste el proceso de compilacion anticipada AOT (Ahead-of-Time)?,En traducir el codigo intermedio de la aplicacion a codigo nativo antes de la ejecución (que es lo que haria un JIT)
¿En que consiste el algoritmo EUI-64 modificado y para que se usa?,En introducir los bytes FF FE en medio de la direccion mac (48bits) e invertir el septimo bit del byte mas significativo Lo utiliza IPv6 para generar los 64bits menos significativos de la direccion IP (autoconfiguracion)
¿Cuantos bytes hay en un megabyte?,- 10^6 bytes (Sistema internacional)
¿Qué dos caracteristicas fundamentales tiene un arbol B+?,Los nodos hoja están enlazados entre si y los datos solo están en los nodos hoja (en resto de nodos contiene claves)
¿Qué significa la siguiente declaración en Java? public static void process(List<? extends Foo> lista) { /* ... */ },Recibe un parametro que es un tipo generico List cuyo tipo de objetos que contiene son de la clase Foo o subtipos de esta
¿Qué es una imagen Raster?,Mapa de bits
¿En que consiste el Color Profundo o Deep Color?,Por lo menos 10bits por canal (RGB). con lo cual minimo son 30bits de profundidad Ej. HDMI 1.3 --> Compatible con profundidades de color de 10-bits. 12-bits y 16-bits (RGB o YCbCr) HDR10+ --> 10bits Dolby Vision --> 12bits
¿Qué hace el comando init 6 en Linux?,Es el runlevel para reiniciar la maquina y que entre en el runlevel por defecto (initdefault dentro de /etc/inittab)
¿Con que comando se puede conocer el estado de un servicio en Linux?,systemctl status nombreDelServicio service nombreDelServicio status
¿Cual es la utilidad del comando chage en Linux?,Cambiar las fechas expiracion de la cuenta del usuario y de caducidad de la clave
En el contexto de los web service. ¿a que se refiere el estandar MTOM?,A un estandar de la W3C para enviar ficheros adjuntos usando las capacidades MIME (dentro del mensaje HTTP)
En el contexto de arquitectura de computadoras. ¿que es el opcode?,La primera parte de la instruccion que indica a cual se refiere
¿Cuales son las VA (Autoridades de validación) del e-DNI?,FNMT y MINHAP
¿Para que sirve la SAM en el sistema operativo Windows?,Almacenar password (hasheadas) de usuarios locales y remotos
¿Cual es la utilidad del cmdlet Get-Member?,Poder consultar las propiedades y metodos de los objetos .Net que otros cmd-lets devuelven
Caracteristicas principales del API JAXB,Poder generar un xml a partir de arbol de objetos Java de Negocio (marshall) y al reves (unmarshall)
¿En que consiste el nivel de aislamiento READ COMMITED?,"En que una transaccion solo podrá ""ver"" la información de la que se haya hecho COMMIT desde otra(s) PROBLEMAS: Lectura fantasma y Lectura no-repetible"
En el contexto de redes. ¿para que sirve el metodo CSMA/CD?,Es un protocolo usado en redes Ethernet donde se pueden dar problema de uso simultaneo del canal (detectando posibles colisiones)
En el ambito de la seguridad en SI. ¿como se define el riesgo? ¿Que herramientas del CCN sirve para su gestión?,Como una funcion del impacto y la probabilidad de la amenaza. Herramientas PILAR. micro-PILAR. PILAR Basic y RMAT(configuracion)
¿Qué tipos de certificados existen según el reglamento eIDAS?,* Cerficados cualificado: * De firma (personas fisicas) * De sello (personas juridicas) * De autenticacion web * Certificados NO cualificado
¿Qué tipos de firmas propone la NTI del documento electrónico?,* XAdES * CAdES * PAdES * CSV
¿Qué tipo de solución del CCN es Loreto? ¿Y Monica?,Loreto --> Almacenamiento de ficheros modo nube Monica --> SIEM
¿En qué consiste el concepto de la deduplicación?,En sistemas de almacenamiento consiste en detectar bloques duplicados (ej. mediante hash) y almacenarnos solo una vez
Dentro del formato APK de Android. ¿donde se encuentran definidos los permisos que solicita la aplicación?,AndroidManifest.xml
¿Para que nos sirve el modificador new en c#?,Para especificar en una clase hija que en lugar de sobreescribir un metodo del padre estamos creando un metodo nuevo (aunque tenga el mismo nombre)
¿Cual es el proposito de una HBA en el contexto de sistemas de almacenamiento?,Conectar generalmente mediante enlaces FC con la cabina/SAN (mediante los switches)
Si codificamos un texto de 100 caracteres en utf-8. ¿cuantos bytes ocuparía?,Al ser un sistema de longitud variable. entre 100 y 400 bytes
En Powershell. ¿cuando debemos de hacer uso de Set-ExecutionPolicy -ExecutionPolicy ...?,Cuando queremos poder ejecutar scripts (.ps1) desde la consola por ej.
